Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	04/03/2023	11:44:41	 1,000	 117,3	 14,59	 8,042	 9,953	 20,38	 0,5783	 42,15	 0,000	 0,000	 0,000	 0,09996	 0,06788	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:44:56	 2,000	 123,9	 13,65	 9,081	 10,12	 20,36	 0,6015	 0,000	 42,34	 0,000	 0,000	 0,09996	 0,06795	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:45:11	 3,000	 124,0	 13,59	 9,120	 10,08	 20,33	 0,6049	 0,000	 0,000	 44,21	 0,000	 0,09996	 0,06787	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:45:26	 4,000	 142,1	 15,32	 9,273	 10,21	 20,56	 0,6770	 0,000	 0,000	 0,000	 45,59	 0,09996	 0,06802	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:45:41	 1,000	 117,0	 14,54	 8,049	 9,963	 20,34	 0,5774	 43,36	 0,000	 0,000	 0,000	 0,09996	 0,06796	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:45:56	 2,000	 123,4	 13,62	 9,062	 10,13	 20,31	 0,5998	 0,000	 44,88	 0,000	 0,000	 0,09996	 0,06796	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:46:11	 3,000	 123,8	 13,68	 9,048	 10,11	 20,32	 0,6022	 0,000	 0,000	 44,26	 0,000	 0,09996	 0,06794	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:46:26	 4,000	 141,8	 15,37	 9,228	 10,19	 20,54	 0,6778	 0,000	 0,000	 0,000	 45,65	 0,09996	 0,06794	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:46:41	 1,000	 117,3	 14,55	 8,061	 9,958	 20,37	 0,5784	 42,15	 0,000	 0,000	 0,000	 0,09996	 0,06797	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:46:56	 2,000	 124,1	 13,67	 9,076	 10,13	 20,37	 0,6012	 0,000	 41,72	 0,000	 0,000	 0,09996	 0,06795	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:47:11	 3,000	 124,5	 13,70	 9,089	 10,13	 20,36	 0,6034	 0,000	 0,000	 41,04	 0,000	 0,09996	 0,06805	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:47:26	 4,000	 142,1	 15,36	 9,251	 10,21	 20,54	 0,6774	 0,000	 0,000	 0,000	 45,45	 0,09996	 0,06796	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:47:41	 1,000	 117,3	 14,07	 8,341	 9,965	 20,37	 0,5781	 42,39	 0,000	 0,000	 0,000	 0,09996	 0,06809	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:47:56	 2,000	 124,1	 13,69	 9,064	 10,13	 20,36	 0,6017	 0,000	 42,25	 0,000	 0,000	 0,09996	 0,06817	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:48:11	 3,000	 124,7	 13,70	 9,103	 10,15	 20,39	 0,6031	 0,000	 0,000	 42,15	 0,000	 0,09996	 0,06806	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:48:26	 4,000	 142,7	 15,35	 9,294	 10,23	 20,59	 0,6772	 0,000	 0,000	 0,000	 44,59	 0,09996	 0,06811	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:48:41	 1,000	 117,8	 14,58	 8,082	 9,958	 20,41	 0,5798	 40,83	 0,000	 0,000	 0,000	 0,09996	 0,06815	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:48:56	 2,000	 124,7	 13,68	 9,118	 10,15	 20,40	 0,6022	 0,000	 40,05	 0,000	 0,000	 0,09996	 0,06814	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:49:11	 3,000	 125,2	 13,75	 9,110	 10,15	 20,41	 0,6045	 0,000	 0,000	 41,95	 0,000	 0,09996	 0,06815	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:49:26	 4,000	 142,9	 15,38	 9,296	 10,26	 20,60	 0,6762	 0,000	 0,000	 0,000	 44,58	 0,09996	 0,06807	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:49:41	 1,000	 118,1	 14,62	 8,079	 9,973	 20,43	 0,5797	 41,00	 0,000	 0,000	 0,000	 0,09996	 0,06813	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:49:56	 2,000	 125,0	 13,73	 9,104	 10,14	 20,43	 0,6034	 0,000	 38,80	 0,000	 0,000	 0,09996	 0,06810	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:50:11	 3,000	 125,4	 13,73	 9,130	 10,13	 20,43	 0,6055	 0,000	 0,000	 39,97	 0,000	 0,09996	 0,06806	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:50:26	 4,000	 143,0	 15,36	 9,304	 10,22	 20,61	 0,6785	 0,000	 0,000	 0,000	 43,95	 0,09996	 0,06807	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:50:41	 1,000	 117,9	 14,59	 8,076	 9,951	 20,41	 0,5802	 42,66	 0,000	 0,000	 0,000	 0,09996	 0,06805	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:50:56	 2,000	 124,9	 13,69	 9,126	 10,14	 20,42	 0,6031	 0,000	 39,82	 0,000	 0,000	 0,09996	 0,06807	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:51:11	 3,000	 125,3	 13,70	 9,146	 10,10	 20,43	 0,6074	 0,000	 0,000	 41,29	 0,000	 0,09996	 0,06806	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:51:26	 4,000	 143,1	 15,39	 9,299	 10,25	 20,61	 0,6778	 0,000	 0,000	 0,000	 44,64	 0,09996	 0,06826	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:51:41	 1,000	 118,2	 14,47	 8,169	 10,01	 20,42	 0,5785	 42,28	 0,000	 0,000	 0,000	 0,09996	 0,06810	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:51:56	 2,000	 124,9	 13,72	 9,104	 10,15	 20,42	 0,6028	 0,000	 39,87	 0,000	 0,000	 0,09996	 0,06813	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:52:11	 3,000	 125,4	 13,69	 9,163	 10,10	 20,42	 0,6080	 0,000	 0,000	 40,43	 0,000	 0,09996	 0,06814	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:52:26	 4,000	 142,9	 15,37	 9,295	 10,26	 20,58	 0,6769	 0,000	 0,000	 0,000	 45,75	 0,09996	 0,06818	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:52:41	 1,000	 117,9	 14,54	 8,108	 9,994	 20,39	 0,5785	 42,29	 0,000	 0,000	 0,000	 0,09996	 0,06820	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:52:56	 2,000	 124,4	 13,70	 9,081	 10,17	 20,37	 0,6006	 0,000	 42,26	 0,000	 0,000	 0,09996	 0,06820	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:53:11	 3,000	 124,6	 13,67	 9,110	 10,12	 20,36	 0,6045	 0,000	 0,000	 43,66	 0,000	 0,09996	 0,06829	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:53:26	 4,000	 142,5	 15,36	 9,278	 10,27	 20,54	 0,6759	 0,000	 0,000	 0,000	 46,09	 0,09996	 0,06819	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:53:41	 1,000	 117,6	 14,48	 8,121	 10,04	 20,37	 0,5754	 43,15	 0,000	 0,000	 0,000	 0,09996	 0,06810	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:53:56	 2,000	 124,4	 13,68	 9,099	 10,16	 20,37	 0,6010	 0,000	 39,03	 0,000	 0,000	 0,09996	 0,06822	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:54:11	 3,000	 124,9	 13,70	 9,118	 10,19	 20,39	 0,6015	 0,000	 0,000	 40,66	 0,000	 0,09996	 0,06824	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:54:26	 4,000	 142,3	 15,34	 9,275	 10,26	 20,53	 0,6751	 0,000	 0,000	 0,000	 46,02	 0,09996	 0,06819	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:54:41	 1,000	 117,8	 14,49	 8,129	 10,01	 20,38	 0,5772	 42,68	 0,000	 0,000	 0,000	 0,09996	 0,06820	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:54:56	 2,000	 124,4	 13,71	 9,073	 10,16	 20,37	 0,6010	 0,000	 41,54	 0,000	 0,000	 0,09996	 0,06822	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:55:11	 3,000	 124,7	 13,69	 9,111	 10,14	 20,36	 0,6038	 0,000	 0,000	 42,86	 0,000	 0,09996	 0,06821	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:55:26	 4,000	 142,5	 15,35	 9,281	 10,27	 20,54	 0,6753	 0,000	 0,000	 0,000	 45,72	 0,09996	 0,06821	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:55:41	 1,000	 117,5	 14,43	 8,147	 10,02	 20,35	 0,5763	 42,58	 0,000	 0,000	 0,000	 0,09996	 0,06826	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:55:56	 2,000	 124,0	 13,66	 9,075	 10,17	 20,33	 0,5996	 0,000	 43,21	 0,000	 0,000	 0,09996	 0,06829	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:56:11	 3,000	 124,1	 13,64	 9,099	 10,16	 20,31	 0,6014	 0,000	 0,000	 44,50	 0,000	 0,09996	 0,06830	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:56:26	 4,000	 141,8	 15,36	 9,232	 10,27	 20,49	 0,6740	 0,000	 0,000	 0,000	 47,12	 0,09996	 0,06827	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:56:41	 1,000	 116,8	 14,40	 8,113	 10,01	 20,29	 0,5750	 44,50	 0,000	 0,000	 0,000	 0,09996	 0,06815	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:56:56	 2,000	 123,3	 13,65	 9,027	 10,18	 20,27	 0,5975	 0,000	 44,49	 0,000	 0,000	 0,09996	 0,06824	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:57:11	 3,000	 123,7	 13,65	 9,058	 10,18	 20,28	 0,5992	 0,000	 0,000	 44,55	 0,000	 0,09996	 0,06828	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:57:26	 4,000	 141,7	 15,31	 9,257	 10,27	 20,49	 0,6739	 0,000	 0,000	 0,000	 46,53	 0,09996	 0,06828	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:57:41	 1,000	 117,1	 14,41	 8,122	 10,01	 20,31	 0,5761	 43,03	 0,000	 0,000	 0,000	 0,09996	 0,06823	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:57:56	 2,000	 123,8	 13,69	 9,045	 10,16	 20,32	 0,5997	 0,000	 40,19	 0,000	 0,000	 0,09996	 0,06824	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:58:11	 3,000	 124,2	 13,64	 9,104	 10,16	 20,31	 0,6017	 0,000	 0,000	 42,67	 0,000	 0,09996	 0,06823	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:58:26	 4,000	 141,9	 15,34	 9,253	 10,27	 20,50	 0,6744	 0,000	 0,000	 0,000	 46,18	 0,09996	 0,06826	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:58:41	 1,000	 116,7	 14,39	 8,113	 10,00	 20,28	 0,5754	 43,54	 0,000	 0,000	 0,000	 0,09996	 0,06824	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:58:56	 2,000	 123,5	 13,67	 9,035	 10,16	 20,28	 0,5993	 0,000	 42,11	 0,000	 0,000	 0,09996	 0,06830	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	11:59:11	 3,000	 123,7	 13,63	 9,076	 10,17	 20,28	 0,6000	 0,000	 0,000	 44,41	 0,000	 0,09996	 0,06819	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	11:59:26	 4,000	 141,6	 15,35	 9,224	 10,27	 20,48	 0,6734	 0,000	 0,000	 0,000	 47,04	 0,09996	 0,06817	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	11:59:41	 1,000	 116,3	 14,38	 8,086	 10,02	 20,24	 0,5734	 44,83	 0,000	 0,000	 0,000	 0,09996	 0,06828	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	11:59:56	 2,000	 123,0	 13,64	 9,018	 10,17	 20,25	 0,5970	 0,000	 43,43	 0,000	 0,000	 0,09996	 0,06818	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:00:11	 3,000	 123,4	 13,63	 9,058	 10,16	 20,24	 0,6000	 0,000	 0,000	 45,26	 0,000	 0,09996	 0,06852	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:00:26	 4,000	 141,4	 15,32	 9,228	 10,28	 20,45	 0,6724	 0,000	 0,000	 0,000	 47,68	 0,09996	 0,06836	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:00:41	 1,000	 116,5	 14,38	 8,100	 10,03	 20,25	 0,5737	 44,09	 0,000	 0,000	 0,000	 0,09996	 0,06833	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:00:56	 2,000	 123,2	 13,64	 9,034	 10,20	 20,25	 0,5968	 0,000	 41,83	 0,000	 0,000	 0,09996	 0,06842	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:01:11	 3,000	 123,7	 13,64	 9,072	 10,18	 20,26	 0,5998	 0,000	 0,000	 43,17	 0,000	 0,09996	 0,06845	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:01:26	 4,000	 141,4	 15,34	 9,214	 10,30	 20,44	 0,6715	 0,000	 0,000	 0,000	 47,84	 0,09996	 0,06840	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:01:41	 1,000	 116,4	 13,87	 8,389	 10,03	 20,23	 0,5738	 45,30	 0,000	 0,000	 0,000	 0,09996	 0,06846	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:01:56	 2,000	 122,9	 13,64	 9,013	 10,19	 20,22	 0,5966	 0,000	 43,72	 0,000	 0,000	 0,09996	 0,06849	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:02:11	 3,000	 123,3	 13,62	 9,052	 10,18	 20,22	 0,5988	 0,000	 0,000	 45,17	 0,000	 0,09996	 0,06848	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:02:26	 4,000	 141,1	 14,82	 9,520	 10,30	 20,41	 0,6712	 0,000	 0,000	 0,000	 48,68	 0,09996	 0,06841	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:02:41	 1,000	 116,1	 13,86	 8,379	 10,03	 20,21	 0,5726	 45,24	 0,000	 0,000	 0,000	 0,09996	 0,06842	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:02:56	 2,000	 123,1	 13,64	 9,026	 10,18	 20,25	 0,5974	 0,000	 41,07	 0,000	 0,000	 0,09996	 0,06844	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:03:11	 3,000	 123,7	 13,68	 9,039	 10,21	 20,25	 0,5979	 0,000	 0,000	 42,10	 0,000	 0,09996	 0,06842	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:03:26	 4,000	 141,2	 14,85	 9,512	 10,29	 20,41	 0,6719	 0,000	 0,000	 0,000	 47,95	 0,09996	 0,06851	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:03:41	 1,000	 116,2	 13,86	 8,384	 10,03	 20,22	 0,5729	 45,14	 0,000	 0,000	 0,000	 0,09996	 0,06845	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:03:56	 2,000	 122,9	 13,63	 9,015	 10,20	 20,22	 0,5955	 0,000	 42,28	 0,000	 0,000	 0,09996	 0,06841	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:04:11	 3,000	 123,4	 13,79	 8,955	 10,23	 20,24	 0,5961	 0,000	 0,000	 43,61	 0,000	 0,09996	 0,06851	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:04:26	 4,000	 141,5	 15,34	 9,221	 10,31	 20,44	 0,6713	 0,000	 0,000	 0,000	 47,15	 0,09996	 0,06854	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:04:41	 1,000	 116,5	 13,88	 8,397	 10,03	 20,24	 0,5738	 44,17	 0,000	 0,000	 0,000	 0,09996	 0,06857	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:04:56	 2,000	 123,3	 13,62	 9,055	 10,21	 20,25	 0,5967	 0,000	 40,02	 0,000	 0,000	 0,09996	 0,06852	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:05:11	 3,000	 123,9	 13,79	 8,986	 10,24	 20,27	 0,5972	 0,000	 0,000	 43,89	 0,000	 0,09996	 0,06859	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:05:26	 4,000	 141,7	 14,87	 9,531	 10,31	 20,45	 0,6720	 0,000	 0,000	 0,000	 47,02	 0,09996	 0,06852	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:05:41	 1,000	 117,0	 13,96	 8,382	 10,04	 20,28	 0,5745	 43,50	 0,000	 0,000	 0,000	 0,09996	 0,06854	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:05:56	 2,000	 123,7	 13,66	 9,056	 10,22	 20,29	 0,5966	 0,000	 41,88	 0,000	 0,000	 0,09996	 0,06854	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:06:11	 3,000	 124,1	 13,55	 9,154	 10,16	 20,28	 0,6017	 0,000	 0,000	 44,60	 0,000	 0,09996	 0,06850	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:06:26	 4,000	 141,7	 15,33	 9,243	 10,32	 20,46	 0,6716	 0,000	 0,000	 0,000	 47,37	 0,09996	 0,06853	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:06:41	 1,000	 117,8	 14,45	 8,155	 10,05	 20,35	 0,5759	 42,97	 0,000	 0,000	 0,000	 0,09996	 0,06859	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:06:56	 2,000	 124,3	 13,69	 9,078	 10,24	 20,32	 0,5977	 0,000	 42,39	 0,000	 0,000	 0,09996	 0,06867	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:07:11	 3,000	 124,0	 13,55	 9,151	 10,19	 20,26	 0,6006	 0,000	 0,000	 45,47	 0,000	 0,09996	 0,06863	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:07:26	 4,000	 141,6	 14,84	 9,539	 10,33	 20,43	 0,6708	 0,000	 0,000	 0,000	 48,54	 0,09996	 0,06863	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:07:41	 1,000	 117,3	 14,44	 8,125	 10,05	 20,31	 0,5748	 45,00	 0,000	 0,000	 0,000	 0,09996	 0,06854	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:07:56	 2,000	 123,5	 13,62	 9,069	 10,22	 20,26	 0,5966	 0,000	 44,47	 0,000	 0,000	 0,09996	 0,06859	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:08:11	 3,000	 123,4	 13,49	 9,153	 10,20	 20,22	 0,5985	 0,000	 0,000	 46,36	 0,000	 0,09996	 0,06859	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:08:26	 4,000	 141,3	 14,81	 9,540	 10,33	 20,40	 0,6707	 0,000	 0,000	 0,000	 48,71	 0,09996	 0,06864	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:08:41	 1,000	 116,7	 13,89	 8,404	 10,04	 20,25	 0,5741	 46,16	 0,000	 0,000	 0,000	 0,09996	 0,06865	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:08:56	 2,000	 122,9	 13,60	 9,036	 10,24	 20,21	 0,5940	 0,000	 46,04	 0,000	 0,000	 0,09996	 0,06860	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:09:11	 3,000	 122,9	 13,46	 9,129	 10,21	 20,18	 0,5969	 0,000	 0,000	 46,75	 0,000	 0,09996	 0,06865	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:09:26	 4,000	 141,0	 14,79	 9,532	 10,34	 20,36	 0,6697	 0,000	 0,000	 0,000	 49,41	 0,09996	 0,06865	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:09:41	 1,000	 116,5	 13,88	 8,393	 10,06	 20,21	 0,5731	 46,09	 0,000	 0,000	 0,000	 0,09996	 0,06869	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:09:56	 2,000	 122,4	 13,61	 8,992	 10,25	 20,17	 0,5922	 0,000	 46,55	 0,000	 0,000	 0,09996	 0,06867	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:10:11	 3,000	 122,3	 13,46	 9,086	 10,21	 20,12	 0,5951	 0,000	 0,000	 47,88	 0,000	 0,09996	 0,06867	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:10:26	 4,000	 140,5	 14,78	 9,505	 10,34	 20,32	 0,6684	 0,000	 0,000	 0,000	 50,36	 0,09996	 0,06866	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:10:41	 1,000	 116,0	 13,88	 8,363	 10,07	 20,17	 0,5709	 46,89	 0,000	 0,000	 0,000	 0,09996	 0,06869	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:10:56	 2,000	 122,0	 13,56	 8,995	 10,24	 20,13	 0,5915	 0,000	 46,78	 0,000	 0,000	 0,09996	 0,06872	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:11:11	 3,000	 122,2	 13,44	 9,092	 10,22	 20,11	 0,5942	 0,000	 0,000	 47,40	 0,000	 0,09996	 0,06872	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:11:26	 4,000	 140,4	 14,79	 9,496	 10,34	 20,31	 0,6683	 0,000	 0,000	 0,000	 50,37	 0,09996	 0,06861	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:11:41	 1,000	 116,3	 13,89	 8,375	 10,05	 20,19	 0,5732	 45,92	 0,000	 0,000	 0,000	 0,09996	 0,06875	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:11:56	 2,000	 122,4	 13,61	 8,988	 10,25	 20,17	 0,5921	 0,000	 46,06	 0,000	 0,000	 0,09996	 0,06869	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:12:11	 3,000	 122,3	 13,43	 9,108	 10,23	 20,12	 0,5944	 0,000	 0,000	 47,89	 0,000	 0,09996	 0,06875	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	12:12:26	 4,000	 140,6	 14,80	 9,504	 10,36	 20,32	 0,6681	 0,000	 0,000	 0,000	 50,04	 0,09996	 0,06873	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	12:12:41	 1,000	 116,2	 14,01	 8,294	 10,08	 20,16	 0,5716	 47,06	 0,000	 0,000	 0,000	 0,09996	 0,06875	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	12:12:56	 2,000	 122,0	 13,59	 8,977	 10,26	 20,12	 0,5910	 0,000	 47,48	 0,000	 0,000	 0,09996	 0,06875	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	12:13:11	 3,000	 121,9	 13,45	 9,057	 10,25	 20,08	 0,5921	 0,000	 0,000	 49,02	 0,000	 0,09996	 0,06878	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
