Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	03/03/2023	18:15:49	 1,000	 0,3549	 4,700	 0,07552	 0,1411	 17,64	 0,1426	 14,12	 0,000	 0,000	 0,000	 0,09996	 0,004800	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	03/03/2023	18:15:59	 2,000	 0,01018	 1,964	 0,005183	 0,005851	 10,56	 0,1648	 0,000	 13,88	 0,000	 0,000	 0,09996	 0,004754	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	03/03/2023	18:16:09	 3,000	 0,002256	 1,953	 0,001155	 -0,002699	 8,091	 -0,1033	 0,000	 0,000	 14,22	 0,000	 0,09996	 0,004723	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	03/03/2023	18:16:21	 4,000	 0,004605	 2,617	 0,001760	 0,001684	 12,96	 0,2110	 0,000	 0,000	 0,000	 14,63	 0,09996	 0,004714	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	04/03/2023	10:31:18	 1,000	 0,01431	 2,761	 0,005185	 0,02206	 11,61	 0,05588	 13,69	 0,000	 0,000	 0,000	 0,09996	 0,02968	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:31:30	 2,000	 0,02266	 0,3458	 0,06553	 0,06838	 12,19	 0,02719	 0,000	 146,8	 0,000	 0,000	 0,09996	 0,02972	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:31:40	 3,000	 0,005773	 2,753	 0,002097	 0,009575	 10,25	 0,05881	 0,000	 0,000	 12,32	 0,000	 0,09996	 0,02973	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:31:52	 4,000	 0,009787	 1,929	 0,005073	 0,007092	 13,94	 0,09898	 0,000	 0,000	 0,000	 12,46	 0,09996	 0,02979	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:32:02	 1,000	 0,02330	 2,762	 0,008437	 0,02233	 11,50	 0,09075	 13,50	 0,000	 0,000	 0,000	 0,09996	 0,02983	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:32:14	 2,000	 0,02285	 0,3474	 0,06576	 0,06801	 12,44	 0,02699	 0,000	 14,64	 0,000	 0,000	 0,09996	 0,02982	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:32:24	 3,000	 0,003286	 1,101	 0,002983	 0,009556	 10,16	 0,03384	 0,000	 0,000	 12,30	 0,000	 0,09996	 0,02990	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:32:36	 4,000	 0,008515	 1,930	 0,004412	 0,006855	 13,97	 0,08891	 0,000	 0,000	 0,000	 12,33	 0,09996	 0,02992	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:32:46	 1,000	 0,02227	 2,763	 0,008061	 0,02122	 11,59	 0,09056	 13,36	 0,000	 0,000	 0,000	 0,09996	 0,03113	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
