Fecha,Temp. Ai 1,R.Directa1,PIRAN.1,PIRAN.2,Celula Top,Celula Mid,Celula Bot,Top - Cal ,Mid - Cal ,Bot - Cal ,Presion,V.Vien.1,D.Vien.1,Bateria,Elev.Sol,Orient.Sol,Est.Geo3K
2023-06-16 10:39:21,28.5030517578125,839.2100219726562,912.1446533203125,128.55859375,831.0684814453125,806.6611328125,765.8346557617188,0.48683056235313416,-0.6244263648986816,-0.03177589550614357,939.7384643554688,1.1399999856948853,279.0,13.617897987365723,63.52423858642578,122.94806671142578,0.0
2023-06-16 10:39:52,28.5030517578125,818.1931762695312,895.4354248046875,128.33370971679688,812.955810546875,787.6325073242188,746.5885009765625,-0.148387610912323,-0.5270002484321594,-0.2838846743106842,939.7366943359375,0.46000000834465027,279.0,13.61929988861084,63.609458923339844,123.14630126953125,0.0
2023-06-16 10:40:23,28.83740234375,820.5027465820312,898.4110107421875,128.9333953857422,813.6572265625,790.8885498046875,749.6607666015625,-0.17027103900909424,-0.2506099045276642,-0.2655985355377197,939.73486328125,0.9300000071525574,131.0,13.61828899383545,63.69158935546875,123.3387680053711,0.0
2023-06-16 10:40:54,28.83740234375,831.5115356445312,910.6187133789062,131.70697021484375,827.0411987304688,801.798828125,760.9349975585938,0.8150815963745117,-0.2787885367870331,-0.020084764808416367,939.7420043945312,1.2799999713897705,241.0,13.631608963012695,63.77062225341797,123.52526092529297,0.0
2023-06-16 10:41:25,29.032257080078125,825.0447998046875,904.97265625,131.70697021484375,818.3013305664062,793.5139770507812,751.948486328125,0.3549306094646454,0.47094276547431946,-0.19665083289146423,939.7474975585938,1.8600000143051147,244.0,13.61802864074707,63.85527801513672,123.72648620605469,0.0
2023-06-16 10:41:56,29.032257080078125,819.9638671875,901.4629516601562,132.23170471191406,813.5806884765625,788.4891357421875,747.8662719726562,-0.08483582735061646,-0.005995452404022217,-0.34563782811164856,939.7366943359375,0.05999999865889549,95.0,13.616497993469238,63.933956146240234,123.91484832763672,0.0
2023-06-16 10:42:27,29.06060791015625,820.1178588867188,903.4467163085938,133.73092651367188,814.0200805664062,787.9021606445312,746.0436401367188,0.11361363530158997,-0.7131590247154236,-0.16067811846733093,939.7384643554688,0.6299999952316284,200.0,13.612784385681152,64.01823425292969,124.1180648803711,0.0
2023-06-16 10:42:58,29.06060791015625,822.04248046875,906.3460693359375,135.00526428222656,815.5116577148438,789.2783813476562,747.354248046875,0.062352538108825684,-0.6750879287719727,-0.2563055753707886,939.73486328125,1.8899999856948853,187.0,13.616661071777344,64.09712982177734,124.3097152709961,0.0
2023-06-16 10:43:29,29.214508056640625,814.7288818359375,902.0733642578125,136.50450134277344,808.1746826171875,781.4971923828125,739.922607421875,0.07344412803649902,-0.7200538516044617,-0.09322928637266159,939.7456665039062,1.2599999904632568,201.0,13.62890625,64.18043518066406,124.51359558105469,0.0
2023-06-16 10:44:00,29.231170654296875,813.5741577148438,904.5911865234375,138.97821044921875,809.5413208007812,783.72607421875,741.966064453125,0.6609984636306763,-0.6541038751602173,-0.24521400034427643,939.749267578125,1.3600000143051147,188.0,13.631217956542969,64.25894927978516,124.70716094970703,0.0
2023-06-16 10:44:31,29.231170654296875,805.8756713867188,899.7081298828125,139.57789611816406,799.7855224609375,774.1284790039062,733.1862182617188,-0.14269191026687622,-0.27159398794174194,-0.29317760467529297,939.749267578125,0.8799999952316284,230.0,13.6312837600708,64.3416748046875,124.91214752197266,0.0
2023-06-16 10:45:02,29.262115478515625,810.4947509765625,907.4142456054688,142.5013885498047,807.2636108398438,782.3141479492188,742.2290649414062,0.7296463847160339,-0.43017369508743286,0.00269795348867774,939.7366943359375,1.4800000190734863,194.0,13.632227897644043,64.41981506347656,125.1076889038086,0.0
2023-06-16 10:45:33,29.262115478515625,818.34716796875,915.5780639648438,144.60031127929688,810.4443359375,784.4835205078125,743.27197265625,0.8972193002700806,0.42897459864616394,-0.11061609536409378,939.7474975585938,0.7799999713897705,202.0,13.62978458404541,64.50288391113281,125.31713104248047,0.0
2023-06-16 10:46:04,29.1873779296875,805.8756713867188,907.7194213867188,146.84913635253906,802.220458984375,776.7658081054688,734.35595703125,0.8501549959182739,-0.23771968483924866,0.03837089613080025,939.7366943359375,0.5799999833106995,202.0,13.612589836120605,64.58516693115234,125.52618408203125,0.0
2023-06-16 10:46:35,29.1873779296875,806.7225341796875,911.3053588867188,149.3978271484375,799.874267578125,774.1561889648438,733.4539794921875,0.9292949438095093,0.39719870686531067,-0.047963619232177734,939.740234375,0.7799999713897705,146.0,13.6138277053833,64.66271209716797,125.72473907470703,0.0
2023-06-16 10:47:06,29.358642578125,792.5573120117188,903.2178344726562,152.17140197753906,792.32763671875,767.8583374023438,727.5772094726562,0.9502790570259094,0.3255530595779419,-0.02548067271709442,939.7510986328125,1.5099999904632568,309.0,13.630698204040527,64.74458312988281,125.93595123291016,0.0
2023-06-16 10:47:37,29.358642578125,774.3119506835938,891.4678955078125,155.01992797851562,774.6180419921875,750.1979370117188,709.3551025390625,0.9643683433532715,0.04556543752551079,-0.00029977262602187693,939.7510986328125,0.5,228.0,13.634833335876465,64.82173156738281,126.13652038574219,0.0
2023-06-16 10:48:08,29.6553955078125,779.6239013671875,898.2584228515625,156.8939666748047,775.1381225585938,751.2291259765625,710.9288330078125,-0.06145358085632324,0.07044656574726105,-0.29407694935798645,939.7474975585938,0.36000001430511475,326.0,13.624346733093262,64.90373229980469,126.35134887695312,0.0
